name,rating,ctype,highly_rated,critically_rated
TCS,3.3,IT Services & Consulting,Job Security,"Promotions, Salary, Work Satisfaction"
Accenture,3.7,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Wipro,3.6,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Cognizant,3.7,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Capgemini,3.6,IT Services & Consulting,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
HDFC Bank,3.8,Banking,"Job Security, Skill Development","Promotions, Salary"
Infosys,3.5,IT Services & Consulting,Job Security,"Promotions, Salary, Work Satisfaction"
HCLTech,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
ICICI Bank,4.0,Banking,"Job Security, Promotions, Skill Development",
Tech Mahindra,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Genpact,3.6,Analytics & KPO,Job Security,"Promotions, Salary, Work Satisfaction"
TP,3.8,BPO,"Work Life Balance, Job Security, Skill Development",
Jio,4.4,Telecom,"Job Security, Skill Development, Company Culture",
Axis Bank,3.6,Banking,"Promotions, Work Satisfaction, Company Culture",
Concentrix Corporation,3.6,BPO,Job Security,"Promotions, Salary, Work Satisfaction"
Amazon,3.9,Internet,"Company Culture, Work Life Balance, Salary",Promotions
Reliance Retail,3.9,Retail,"Job Security, Skill Development, Work Life Balance",Promotions
iEnergizer,4.6,BPO,"Salary, Company Culture, Work Life Balance",
LTIMindtree,3.6,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
IBM,3.9,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security",Promotions
HDB Financial Services,3.9,NBFC,"Work Life Balance, Job Security, Skill Development","Promotions, Salary"
Larsen & Toubro Limited,3.9,Engineering & Construction,"Job Security, Skill Development, Salary","Promotions, Work Life Balance"
Deloitte,3.7,Management Consulting,"Promotions, Work Life Balance, Work Satisfaction",
Kotak Mahindra Bank,3.6,Banking,"Promotions, Work Satisfaction, Company Culture",
Reliance Industries,4.0,Oil & Gas,"Job Security, Work Life Balance, Skill Development",Promotions
Vodafone Idea,3.9,Telecom,"Salary, Company Culture, Work Life Balance",Promotions
Bharti Airtel,3.8,Telecom,Promotions,
BYJU'S,3.2,EdTech,"Job Security, Company Culture, Work Life Balance",
WNS,3.3,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Ernst & Young,3.4,Management Consulting,"Promotions, Work Life Balance, Work Satisfaction",
IDFC FIRST Bank,3.9,Banking,"Salary, Skill Development",
IndusInd Bank,3.4,Banking,"Promotions, Company Culture, Work Satisfaction",
AU Small Finance Bank,3.8,Banking,Salary,
Tata Motors,4.1,Automobile,"Job Security, Company Culture, Work Life Balance",Promotions
Muthoot FinCorp,4.5,NBFC,"Company Culture, Skill Development, Work Life Balance",
Bajaj Finserv,4.0,NBFC,"Salary, Skill Development, Job Security",
Flipkart,3.9,Internet,"Skill Development, Salary",Promotions
PwC,3.3,Management Consulting,"Promotions, Work Life Balance, Work Satisfaction",
Mahindra & Mahindra,4.0,Automobile,"Job Security, Skill Development, Company Culture",Promotions
Infosys BPM,3.5,BPO,Job Security,"Promotions, Salary, Work Satisfaction"
HDFC Life,3.9,Insurance,Skill Development,
DXC Technology,3.6,IT Services & Consulting,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Bandhan Bank,3.7,Banking,"Promotions, Work Satisfaction, Skill Development",
Digitide Solutions,3.5,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Mphasis,3.3,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Yes Bank,3.7,Banking,"Job Security, Promotions, Company Culture",
Tata Steel,4.0,Iron & Steel,"Work Life Balance, Job Security, Company Culture",Promotions
Quess,3.8,Recruitment,"Promotions, Job Security",
Asian Paints,3.9,Chemicals,"Salary, Skill Development, Job Security",Promotions
Maruti Suzuki,4.1,Automobile,"Job Security, Salary, Company Culture",
Startek,3.1,BPO,"Promotions, Work Satisfaction, Salary",
UltraTech Cement,4.2,Building Material,"Job Security, Company Culture, Skill Development",
Paytm,3.2,FinTech,"Job Security, Promotions, Company Culture",
Bajaj Finance,3.9,NBFC,"Salary, Skill Development, Job Security",
Shriram Finance,3.9,NBFC,"Job Security, Company Culture, Work Life Balance",Promotions
Sutherland Global Services,3.4,BPO,"Promotions, Skill Development, Salary",
Equitas Small Finance Bank,4.3,Banking,"Job Security, Company Culture, Work Life Balance",
Wells Fargo,3.6,Financial Services,Work Life Balance,"Promotions, Skill Development, Work Satisfaction"
EXL Service,3.6,Analytics & KPO,Job Security,"Promotions, Salary, Skill Development"
Cipla,4.1,Pharma,"Salary, Work Life Balance, Skill Development",
Ericsson,3.9,Telecom,"Work Life Balance, Company Culture","Promotions, Salary"
Samsung,3.9,Consumer Electronics & Appliances,Salary,Promotions
Dr. Reddy's,4.0,Pharma,"Company Culture, Work Life Balance, Skill Development",Promotions
Optum Global Solutions,4.0,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture",Promotions
JSW Steel,3.9,Iron & Steel,"Job Security, Skill Development",Promotions
JPMorgan Chase & Co.,3.8,Financial Services,Job Security,Promotions
Delhivery,3.8,Logistics,Promotions,
ICICI Prudential Life Insurance,3.9,Insurance,"Job Security, Salary, Skill Development",
Hexaware Technologies,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Ujjivan Small Finance Bank,4.0,Banking,"Company Culture, Work Life Balance, Job Security",
Jana Small Finance Bank,3.7,Banking,Salary,Promotions
Sun Pharmaceutical Industries,4.1,Pharma,"Salary, Job Security, Skill Development",
HGS,3.7,Emerging Technologies,"Promotions, Salary",
Amazon Development Centre India,3.8,Internet,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development"
Zydus Lifesciences,4.0,Pharma,"Salary, Skill Development",
Ekart Logistics,3.9,Logistics,Skill Development,Promotions
Lupin,4.1,Pharma,"Company Culture, Skill Development, Work Life Balance",Promotions
KPMG India,3.4,Management Consulting,"Promotions, Work Life Balance, Work Satisfaction",
L&T Construction,4.0,Engineering & Construction,"Job Security, Skill Development, Salary","Work Life Balance, Promotions"
Axis Max Life Insurance,4.0,Insurance,"Skill Development, Company Culture, Work Life Balance",
Hindustan Unilever,4.2,FMCG,"Skill Development, Company Culture, Work Life Balance",Promotions
ITC,3.9,FMCG,"Job Security, Skill Development",Promotions
Megha Engineering & Infrastructures,3.9,Engineering & Construction,Work Life Balance,Promotions
Coforge,3.3,IT Services & Consulting,"Promotions, Work Satisfaction, Skill Development",
Tata Projects,4.2,Engineering & Construction,"Salary, Company Culture, Work Life Balance",
Bajaj Life Insurance,3.8,Insurance,Salary,
Cholamandalam Investment & Finance,3.8,Financial Services,Salary,Promotions
L&T Technology Services,3.1,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
FIS,3.8,FinTech,Work Life Balance,"Promotions, Job Security, Skill Development"
Oracle,3.4,Software Product,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Omega Healthcare,3.8,BPO,"Promotions, Salary",
JLL,4.1,Real Estate,"Job Security, Company Culture, Work Life Balance",Promotions
Muthoot Finance,3.7,NBFC,"Promotions, Work Satisfaction",
IIFL Finance,4.0,NBFC,"Work Life Balance, Company Culture, Job Security",
eClerx,3.1,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Indian Army,4.7,Defence & Aerospace,"Job Security, Company Culture, Work Life Balance",
Piramal Capital Housing Finance,4.2,NBFC,"Company Culture, Work Life Balance, Skill Development",
Virtusa Consulting Services,3.7,IT Services & Consulting,"Promotions, Work Satisfaction, Job Security",
DMart,3.9,Retail,"Job Security, Company Culture",Promotions
HCL Group,3.5,IT Services & Consulting,Job Security,"Promotions, Salary, Work Satisfaction"
PolicyBazaar,3.7,Internet,Salary,Work Life Balance
HSBC Group,3.8,Financial Services,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
Indiamart Intermesh,3.5,Internet,"Work Satisfaction, Promotions, Company Culture",
SMFG India Credit,3.9,NBFC,Salary,Promotions
Access Healthcare,3.7,BPO,Job Security,Promotions
BigBasket,3.9,Internet,Job Security,Promotions
Siemens,3.9,Industrial Automation,"Work Life Balance, Job Security, Company Culture",Promotions
Aurobindo Pharma,4.0,Pharma,"Job Security, Salary, Work Life Balance",Promotions
ICICI Lombard General Insurance Company,3.5,Insurance,"Promotions, Work Satisfaction, Company Culture",
Firstsource Solutions,3.5,BPO,"Promotions, Salary, Work Satisfaction",
Manappuram Finance,3.9,NBFC,"Work Life Balance, Promotions, Skill Development",
GlobalLogic,3.5,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Tata Capital,4.0,NBFC,"Job Security, Company Culture, Work Life Balance",Promotions
Udaan,3.9,Internet,"Salary, Skill Development","Job Security, Promotions"
UST,3.7,IT Services & Consulting,Work Life Balance,"Promotions, Job Security, Salary"
Standard Chartered,3.6,Banking,"Promotions, Work Satisfaction, Salary",
Shapoorji Pallonji Group,4.1,Engineering & Construction,"Job Security, Company Culture, Work Life Balance",Promotions
Apollo Hospitals,4.0,Healthcare,"Job Security, Skill Development, Company Culture",Promotions
Bosch Global Software Technologies,3.7,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction"
Mahindra Finance,3.9,NBFC,Work Life Balance,Promotions
Swiggy,3.7,Internet,"Job Security, Promotions, Work Satisfaction",
Ashok Leyland,4.0,Automobile,"Work Life Balance, Skill Development, Company Culture",Promotions
Citicorp,3.6,Financial Services,Salary,"Promotions, Work Satisfaction, Skill Development"
Hero MotoCorp,4.1,Automobile,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
CGI Group,4.0,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
Cyient,3.6,IT Services & Consulting,"Promotions, Salary, Skill Development",
SBI Cards & Payment Services,3.6,Financial Services,"Promotions, Work Satisfaction, Company Culture",
BNY,3.6,Financial Services,"Promotions, Job Security, Work Satisfaction",
NTT DATA,3.8,IT Services & Consulting,Work Life Balance,Promotions
Kalpataru Projects International,4.2,Engineering & Construction,"Job Security, Skill Development, Salary",
IQVIA,3.7,Clinical Research,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
Nagarjuna Construction Company,4.0,Engineering & Construction,"Job Security, Company Culture, Work Life Balance",Promotions
JustDial,3.5,Internet,"Promotions, Work Satisfaction, Job Security",
Schneider Electric,4.1,Industrial Automation,"Company Culture, Work Life Balance, Job Security",Promotions
CBRE,4.1,Real Estate,"Company Culture, Work Life Balance, Job Security",
SBI Life Insurance Company,3.7,Insurance,Job Security,"Promotions, Work Life Balance, Work Satisfaction"
TVS Motor,3.9,Automobile,"Job Security, Skill Development, Salary",Promotions
Persistent Systems,3.6,IT Services & Consulting,"Promotions, Job Security, Work Satisfaction",
State Bank of India,3.8,Banking,"Job Security, Skill Development, Salary",
Atos,3.8,IT Services & Consulting,Work Life Balance,"Promotions, Salary"
KEC International,4.0,Engineering & Construction,"Job Security, Salary, Company Culture",Promotions
vivo,4.1,Consumer Electronics & Appliances,"Company Culture, Skill Development, Work Life Balance",Promotions
ITC Infotech,3.8,IT Services & Consulting,"Work Life Balance, Job Security",Promotions
Amdocs,3.6,Software Product,Company Culture,"Promotions, Job Security, Work Satisfaction"
Ecom Express,4.0,Logistics,"Work Life Balance, Company Culture, Work Satisfaction",
JBM Group,3.9,Auto Components,"Job Security, Skill Development",Promotions
Varun Beverages,4.0,Beverage,"Job Security, Work Life Balance, Skill Development",Promotions
Eviden,3.6,IT Services & Consulting,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Nagarro,3.9,IT Services & Consulting,"Company Culture, Work Life Balance",Promotions
Utkarsh Small Finance Bank,3.6,Banking,"Promotions, Company Culture, Work Satisfaction",
Randstad,3.7,Recruitment,"Promotions, Job Security, Work Satisfaction",
Bosch,4.1,Auto Components,"Work Life Balance, Company Culture, Job Security",Promotions
EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting,Job Security,"Promotions, Work Satisfaction, Work Life Balance"
Hewlett Packard Enterprise,4.0,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
L&T Finance,3.9,NBFC,"Salary, Job Security",Promotions
Aditya Birla Fashion and Retail,4.0,Fashion & Textile,"Job Security, Skill Development, Company Culture",Promotions
Cars24,3.5,Internet,"Job Security, Promotions, Company Culture",
Havells,3.9,Electrical Equipment,"Work Life Balance, Salary",Promotions
Mahindra Logistics,3.7,Logistics,"Promotions, Salary",
Intas Pharmaceuticals,4.1,Pharma,"Job Security, Salary, Work Life Balance",
R1 RCM,3.8,BPO,Job Security,Promotions
Home Credit Finance,4.0,NBFC,"Work Life Balance, Company Culture, Skill Development",
Dell,3.8,Consumer Electronics & Appliances,"Work Life Balance, Company Culture","Promotions, Job Security"
Tata AIA Life Insurance,3.9,Insurance,"Job Security, Skill Development, Salary",
Hetero,3.9,Pharma,"Job Security, Work Life Balance",Promotions
Deutsche Bank,3.9,Banking,"Work Life Balance, Job Security, Company Culture",Promotions
Berger Paints,3.7,Chemicals,"Promotions, Company Culture, Work Life Balance",
OPPO,3.9,Consumer Electronics & Appliances,Skill Development,"Promotions, Job Security"
Hyundai Motor India Limited,4.1,Automobile,"Job Security, Skill Development, Salary",
Lenskart,3.3,Internet,"Promotions, Company Culture, Work Satisfaction",
Motilal Oswal Financial Services,3.7,Financial Services,Skill Development,"Promotions, Work Satisfaction"
TeamLease Services,3.9,Recruitment,Work Life Balance,Promotions
VE Commercial Vehicles,3.9,Automobile,"Job Security, Company Culture, Skill Development","Promotions, Salary"
Thermax Limited,4.2,Industrial Machinery,"Job Security, Company Culture, Skill Development",Promotions
Carelon Global Solutions,3.9,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security",Promotions
Macleods Pharmaceuticals,3.7,Pharma,Job Security,"Promotions, Company Culture"
Jubilant Foods Works,3.7,Hospitality,"Promotions, Work Satisfaction",
Aakash Educational Services,3.2,Education & Training,"Promotions, Work Life Balance, Job Security",
Bajaj Auto,3.8,Automobile,Promotions,
Jindal Steel Limited,3.9,Iron & Steel,Skill Development,Promotions
LG Electronics,3.8,Consumer Electronics & Appliances,Job Security,Promotions
State Street Corporation,3.5,Financial Services,"Promotions, Work Satisfaction, Job Security",
Kogta Financial India Limited,4.7,NBFC,"Company Culture, Work Life Balance, Work Satisfaction",
Hindalco Industries,4.2,Metals & Mining,"Job Security, Work Life Balance, Skill Development",
Royal Enfield,4.2,Automobile,"Work Life Balance, Skill Development, Company Culture",Promotions
HDFC ERGO General Insurance,4.0,Insurance,"Company Culture, Work Life Balance, Job Security",Promotions
John Deere,4.0,Industrial Machinery,"Company Culture, Work Life Balance, Skill Development",Promotions
DCB Bank,3.8,Banking,Work Life Balance,Promotions
RBL Bank,3.5,Banking,"Promotions, Company Culture, Work Satisfaction",
Tata Communications,3.9,Telecom,"Work Life Balance, Company Culture, Job Security","Promotions, Salary"
Cummins,4.3,Industrial Machinery,"Company Culture, Work Life Balance, Work Satisfaction",
Publicis Sapient,3.2,IT Services & Consulting,"Promotions, Job Security, Work Satisfaction",
Alembic Pharmaceuticals,3.9,Pharma,"Salary, Work Life Balance",
Bank of America,4.1,Banking,"Job Security, Work Life Balance, Company Culture",Promotions
Pidilite Industries,4.2,Chemicals,"Job Security, Work Life Balance, Company Culture",Promotions
Grasim Industries,4.0,Building Material,"Job Security, Skill Development, Company Culture",Promotions
Oyo Rooms,3.0,Internet,"Job Security, Work Satisfaction, Promotions",
Aditya Birla Sun Life Insurance,4.0,Insurance,"Work Life Balance, Company Culture, Job Security",
American Express,4.1,Financial Services,"Company Culture, Work Life Balance, Job Security",Promotions
Kyndryl,4.0,IT Services & Consulting,"Work Life Balance, Company Culture, Skill Development",Promotions
Subros,3.8,Auto Components,"Job Security, Company Culture, Skill Development","Salary, Promotions"
PNB MetLife,3.3,Insurance,"Job Security, Company Culture, Work Satisfaction",
Cloudnine Hospital,4.5,Healthcare,"Company Culture, Skill Development, Work Life Balance",
ADP Private Limited,3.9,Software Product,"Job Security, Work Life Balance, Company Culture","Promotions, Salary"
Aditya Birla Capital,3.8,NBFC,Promotions,
Altruist Technologies,4.4,BPO,"Work Life Balance, Job Security, Skill Development",
XpressBees,4.2,Logistics,"Work Life Balance, Skill Development, Company Culture",
Viatris,4.1,Pharma,"Salary, Job Security, Work Life Balance",
Escorts Kubota Limited,4.1,Industrial Machinery,"Work Life Balance, Company Culture, Skill Development",Promotions
PVR INOX,3.9,Media & Entertainment,Promotions,
KPIT Technologies,2.8,Software Product,"Job Security, Promotions, Work Satisfaction",
Reliance Communications,4.0,Telecom,"Skill Development, Company Culture, Work Life Balance",Promotions
Maersk,4.0,Logistics,"Company Culture, Work Life Balance",Promotions
Birlasoft,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Synechron,3.4,IT Services & Consulting,"Job Security, Promotions, Work Satisfaction",
JK Cement,4.0,Building Material,Salary,
Glenmark Pharmaceuticals,3.8,Pharma,Promotions,
Kotak Mahindra Life Insurance Company,3.5,Insurance,"Promotions, Work Satisfaction, Company Culture",
Bharat Electronics,4.2,Electronics Manufacturing,"Work Life Balance, Company Culture, Work Satisfaction",
Sodexo,4.0,Facility Management Services,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Dabur,3.8,FMCG,Salary,Promotions
Cogent E Services,3.1,BPO,"Company Culture, Work Satisfaction, Promotions",
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances,Job Security,Promotions
PhonePe,4.0,FinTech,"Salary, Work Life Balance, Company Culture",
Abbott,4.1,Pharma,"Work Life Balance, Skill Development, Salary",Promotions
Samvardhana Motherson Group,3.7,Auto Components,Job Security,"Promotions, Company Culture, Work Satisfaction"
Ipca Laboratories,3.8,Pharma,"Job Security, Work Life Balance","Promotions, Salary"
Aarti Industries,4.1,Agro Chemicals,"Job Security, Work Life Balance, Company Culture",
Blinkit,3.8,Internet,Salary,"Promotions, Job Security"
Reliance Projects & Property Management Services,4.0,Other,"Work Life Balance, Job Security, Skill Development",Promotions
UNO Minda,4.0,Auto Components,"Job Security, Company Culture, Skill Development",Promotions
Reliance Digital,4.1,Retail,"Skill Development, Job Security, Company Culture",
MRF Tyres,3.6,Auto Components,"Company Culture, Work Satisfaction, Work Life Balance",
IGT Solutions,3.2,BPO,"Promotions, Salary, Company Culture",
Indian Oil Corporation,4.4,Oil & Gas,"Company Culture, Work Life Balance, Work Satisfaction",
ArcelorMittal Nippon Steel India,4.1,Iron & Steel,"Work Life Balance, Job Security, Company Culture",
Johnson Controls,3.5,Industrial Automation,"Promotions, Company Culture, Work Satisfaction",
Alkem Laboratories,3.9,Pharma,"Work Life Balance, Salary",Promotions
"NTT DATA, Inc.",3.9,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security",Promotions
Honda Motorcycle & Scooter,4.1,Automobile,"Job Security, Company Culture, Work Life Balance",Promotions
[24]7.ai,3.4,Software Product,"Promotions, Salary, Work Satisfaction",
Vishal Mega Mart,3.7,Retail,Salary,"Company Culture, Work Satisfaction, Job Security"
Hindustan Coca Cola Beverages,4.0,Beverage,"Salary, Skill Development, Company Culture",Promotions
UBS,3.8,Financial Services,"Work Life Balance, Company Culture","Promotions, Job Security"
Barclays,3.7,Banking,Work Life Balance,"Promotions, Skill Development, Work Satisfaction"
Bajaj General Insurance Limited,3.7,Insurance,"Promotions, Work Satisfaction, Work Life Balance",
IndusInd Nippon Life Insurance,3.4,Mumbai +491 other locations,"Job Security, Company Culture, Work Satisfaction",
DTDC Express,3.7,Logistics,"Promotions, Salary, Company Culture",
ABB,4.0,Industrial Machinery,"Work Life Balance, Job Security, Company Culture",Promotions
Ceat Tyres,3.9,Auto Components,"Job Security, Company Culture, Skill Development","Promotions, Salary"
TVS Credit Services Ltd,4.2,NBFC,"Salary, Company Culture, Work Life Balance",
Ford Motor,4.2,Automobile,"Company Culture, Work Life Balance, Salary",Promotions
NatWest Group,3.9,Banking,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
RSPL Group,4.1,FMCG,"Job Security, Work Life Balance, Company Culture",Promotions
AGS Health,4.0,Analytics & KPO,"Company Culture, Work Life Balance, Job Security",Promotions
HARMAN,3.8,Consumer Electronics & Appliances,"Work Life Balance, Company Culture",Promotions
Conduent,3.4,BPO,"Promotions, Salary, Skill Development",
Croma,3.8,Retail,"Work Life Balance, Job Security, Skill Development",Promotions
Alstom Transportation,3.7,Engineering & Construction,Job Security,"Promotions, Company Culture, Work Satisfaction"
Niva Bupa Health Insurance Company,4.0,Insurance,"Work Life Balance, Company Culture, Work Satisfaction",
InterGlobe Aviation,3.5,Aviation,"Promotions, Salary, Work Life Balance",
Indian Air Force,4.6,Defence & Aerospace,"Job Security, Company Culture, Skill Development",
Tata Technologies,3.4,Engineering & Construction,"Promotions, Salary, Work Satisfaction",
Tata AIG,4.0,Insurance,"Job Security, Company Culture, Work Life Balance",Promotions
GeBBS Healthcare Solutions,3.8,BPO,Job Security,"Promotions, Salary"
Canara HSBC Life Insurance,4.1,Insurance,"Salary, Work Life Balance, Promotions",
UPL,4.1,Agro Chemicals,"Job Security, Work Life Balance, Skill Development",
Allcargo Logistics,3.8,Logistics,Promotions,
PepsiCo,4.0,Food Processing,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Sagility,3.9,BPO,"Job Security, Company Culture, Work Life Balance","Promotions, Salary"
Max Healthcare,4.0,Healthcare,"Job Security, Skill Development, Company Culture",Promotions
Mankind Pharma,3.8,Pharma,Salary,
Dilip Buildcon,3.9,Engineering & Construction,Salary,"Promotions, Job Security"
Amazon Transportation Services,4.2,Logistics,"Company Culture, Skill Development, Salary",
Titan Company,4.2,Retail,"Company Culture, Job Security, Work Life Balance",Promotions
Jindal Stainless,4.2,Iron & Steel,"Job Security, Work Life Balance, Skill Development",
Marpu Foundation,4.9,Non-Profit,"Company Culture, Work Life Balance, Work Satisfaction",
Walmart,3.5,Retail,"Promotions, Work Satisfaction, Job Security",
Varroc Group,3.6,Auto Components,"Promotions, Job Security, Company Culture",
S&P Global,4.0,Analytics & KPO,"Company Culture, Work Life Balance",Promotions
Societe Generale Global Solution Centre,3.6,IT Services & Consulting,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
MSN Laboratories,3.6,Pharma,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
Quest Global,3.5,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Afcons Infrastructure,4.2,Engineering & Construction,"Job Security, Skill Development, Company Culture",
Ola Electric Mobility,3.3,Automobile,Salary,"Job Security, Promotions, Company Culture"
Torrent Pharmaceuticals,4.0,Pharma,"Job Security, Work Life Balance, Company Culture","Promotions, Salary"
ESAF Small Finance Bank,3.6,Banking,"Promotions, Work Satisfaction, Company Culture",
IDFC FIRST Bharat,4.2,Financial Services,"Salary, Company Culture, Work Life Balance",
Future Group,4.3,Retail,"Skill Development, Company Culture, Work Life Balance",
Square Yards,3.5,Internet,"Job Security, Company Culture, Work Life Balance",
HDFC Sales,3.9,Financial Services,"Skill Development, Company Culture, Work Life Balance","Promotions, Salary"
Tata AutoComp Systems,3.7,Auto Components,Job Security,"Promotions, Salary, Company Culture"
CMS IT Services,3.1,IT Services & Consulting,"Promotions, Salary, Company Culture",
Tata Elxsi,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Zensar Technologies,3.7,IT Services & Consulting,Work Life Balance,"Promotions, Job Security, Work Satisfaction"
DS Group,4.1,FMCG,"Work Life Balance, Company Culture, Job Security",Promotions
Bharat Financial Inclusion,3.7,Financial Services,Salary,"Work Satisfaction, Promotions, Work Life Balance"
I Process Services,3.8,Recruitment,Work Life Balance,"Promotions, Salary"
Suzlon Group,4.0,Power,"Job Security, Skill Development, Work Life Balance","Promotions, Salary"
ACC,3.9,Building Material,"Promotions, Job Security",
Fujitsu,3.8,IT Services & Consulting,"Work Life Balance, Company Culture",Promotions
Eternal Limited,3.6,Internet,"Job Security, Promotions, Work Life Balance",
Indus Towers,3.6,Telecom,"Promotions, Job Security, Work Life Balance",
VVDN Technologies,3.6,IT Services & Consulting,"Promotions, Salary, Company Culture",
Shoppers Stop,4.0,Retail,"Company Culture, Work Life Balance, Job Security",Promotions
Tata Electronics,3.9,Semiconductors,Job Security,"Promotions, Salary"
Nokia,4.0,Telecom,"Work Life Balance, Company Culture, Job Security",Promotions
IKS Health,3.6,Healthcare,"Promotions, Salary, Work Satisfaction",
Zepto,3.5,Internet,"Job Security, Company Culture, Work Life Balance",
Yazaki,3.9,Auto Components,"Job Security, Skill Development",Promotions
Apollo Tyres,4.0,Auto Components,"Company Culture, Work Life Balance, Job Security",Promotions
Shree Cement,3.8,Building Material,"Promotions, Job Security",
